Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7a	Signature.7b	Signature.7c	Signature.7d	Signature.8	Signature.9	Signature.10a	Signature.10b	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17a	Signature.17b	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30	Signature.31	Signature.32	Signature.33	Signature.34	Signature.35	Signature.36	Signature.37	Signature.38	Signature.39	Signature.40	Signature.41	Signature.42	Signature.43	Signature.44	Signature.45	Signature.46	Signature.47	Signature.48	Signature.49	Signature.50	Signature.51	Signature.52	Signature.53	Signature.54	Signature.55	Signature.56	Signature.57	Signature.58	Signature.59	Signature.60	Signature.84	Signature.85	Control
0.000942039	0.000208658	0.01857984	0.126607707	0.021757451	0.000874583	0.000450654	0.000695205	4.42E-15	0.000283942	0.0354382	0.002493634	0.000176096	0.000344623	0.000163609	0.007604452	0.002770335	0.012564491	0.001005895	0.02292636	0.002208676	0.002197718	0.058972487	0.002396123	0.013980018	0.021312502	0.008204714	0.001065864	0.327498182	0.006527907	0.001744713	0.022331652	0.000838081	0.134241977	2.20E-15	0.011662329	0.007578873	0.004210049	0.003215939	0.006371454	0.052418988	0.007247683	0.012254874	0.03821723	0.034515526	0.002852739	0.011339549	0.001885507	0.004352771	0.016869712	0.005121455	0.012740726	0.001680195	0.015670122	0.002658091	0.045943832	0.030188449	0.241751753	0.043957606	0.000783231	0.000173182	8.55E-17	0.037126218	0.104513365	0.004307113	0.007534828	0.00739718	0.021141649
4.01E-17	8.62E-05	0.014569016	0.019671109	0.007110511	0.00033788	2.65E-16	0.000157191	0.000810063	0.000129453	0.039011949	0.013996989	0.020874078	0.00126995	2.93E-16	5.25E-05	0.00011649	0.159925144	0.005081206	0.010963481	0.000109812	0.001424182	0.054492906	0.000357801	0.002486175	0.012585255	0.00098431	3.10E-05	0.030314238	0.011680506	0.001239026	0.011383498	0.000375898	0.055367529	0.00095881	0.004722266	0.00316867	0.004403277	2.14E-05	0.032269361	0.083968205	0.002071871	0.009117514	0.005571865	0.016391638	0.002835295	0.021711647	0.001660328	0.009116185	0.00632649	0.003445632	0.002572621	5.07E-06	0.001502411	0.002491922	0.004152664	0.00352749	0.000608324	0.005881584	0.000839563	0.031141789	0.002845264	0.000533716	0.483293865	0.000164701	0.011262717	0.001746776	0.002114165
5.22E-06	0.000474138	0.005401147	0.016279306	0.003612425	4.31E-05	0.00020441	0.001366997	0.002478976	0.008791165	0.019051161	0.012253767	0.077924138	8.92E-05	0.000104725	0.002926333	0.065962878	0.000194149	0.002116819	0.008999203	0.000195688	1.46E-05	0.028455623	0.000797294	0.000752642	0.000910091	0.000617385	0.000943015	0.007320215	0.003403233	0.000627077	0.00479458	0.014997158	0.013040163	0.000341267	0.001103103	0.004156253	0.007240892	0.002990156	0.003273598	0.075638814	0.001415998	0.007826104	0.002493712	0.017395293	0.002121541	0.002696772	0.003317259	0.00030335	0.025534388	0.007784354	0.013592621	0.013935448	0.003731055	0.01023099	0.018942433	0.171380543	0.00062806	0.00025773	0.000872582	0.191490768	0.009197797	0.004954156	1.01E-05	0.001102699	0.001016243	0.001962391	0.030655391
0.000270552	0.000170047	0.014545027	0.025860735	0.005681471	8.13E-05	0.000449377	0.002236802	0.018831089	0.00806712	0.021631873	0.002390402	0.011141779	0.001024206	0.000735688	0.003264767	0.033092917	0.018328525	0.000963932	0.006593767	3.60E-05	3.53E-16	0.022662794	0.000880102	0.001999573	0.000198317	0.001847161	0.000396298	0.017186607	0.006742913	0.000567772	0.005724006	0.000639038	0.015984595	0.000160623	0.007499308	0.005349585	0.004191614	0.001151704	0.019343805	0.055828777	0.001517557	0.006854652	0.004418581	0.018940565	0.001486165	0.038493109	3.81E-06	0.001064297	0.034529932	0.006057467	8.79E-05	0.000574187	0.000781217	0.000643151	0.002045732	0.023302612	0.001154268	2.10E-05	5.60E-18	0.015559401	0.000614765	0.000388754	0.011626183	0.000119952	5.96E-06	0.000230516	0.023255814
1.67E-16	0.000595907	0.008525785	0.041976337	0.009952434	0.000228019	0.000169755	0.001331423	2.06E-15	1.61E-15	0.01143626	0.003019993	0.009053727	0.00107862	1.22E-15	0.003998169	0.095122467	3.73E-05	8.91E-05	0.011689389	2.15E-15	0.001052664	0.046104222	0.001550277	9.20E-16	0.000400846	1.65E-15	0.000380153	0.022642037	0	0.000774192	0.009245078	0.001273761	0.04726276	0.000381321	0.00533251	0.009571749	0.007848577	1.46E-15	0.000553847	0.074245163	0.007465795	0.009907739	0.011817805	0.019968383	0.001249163	0.004500572	1.52E-17	1.05E-06	0.068741943	0.014896448	0.000180984	0.750189028	0.043243022	0.000212424	0.022680291	0.465986748	0.000989972	0.003003272	0.000467903	0.044949162	0.001350448	0.017277863	0.002548502	0.001053622	0	3.79E-08	0.044397463
3.04E-07	0.000212739	0.004172295	0.011007602	0.003803381	5.89E-05	0.000209357	0.00043309	0.00239095	9.60E-05	0.013288798	0.012822514	0.361916845	0.010630862	1.79E-05	0.001287663	0.019314821	0.055051964	0.000645566	0.005022407	0.000193283	0.001968824	0.030652183	0.000519527	0.000259269	9.02E-17	0.000203201	6.92E-05	0.003649491	0.007860626	0.000609868	0.004328886	0.000380643	0.007726384	0.00021247	0.001735159	0.002683218	0.005075104	1.46E-05	0.006192927	0.072707427	0.001125674	0.008009529	0.001779821	0.010506675	0.00246414	0.009406466	2.24E-18	0.003846736	0.016118589	0.001237168	0.000100625	1.37E-05	0.000646597	0.000649121	0.000127926	0.014681256	0.000133505	0.001807429	0.0013267	0.22904437	0.002594348	0.006438865	0.001065514	0.000144418	0.000382585	0.001353103	0.016913319
0.000133548	1.50E-16	0.011451551	0.002550822	0.004201513	5.16E-05	3.08E-05	3.65E-06	0.000997236	0.000823629	0.002505539	0.003157723	1.67E-16	5.52E-05	8.95E-05	0.000928565	0.002924769	1.12E-16	1.26E-05	0.001312313	0.000941542	0.000155362	0.000603762	0.001668161	0.003493814	9.54E-06	0.001183195	2.30E-18	0.000742612	0.003564148	0.000258377	0.000809095	0.000146185	0.00081994	0.000474873	0.004466162	0.000769397	0.000776555	0.00048298	0.002012824	0.000893411	0.021980368	0.001076546	0.017853127	0.00738799	0.003092137	0.000194316	0.00017205	0.001023599	0.001123088	0.000687396	0.000749828	2.01E-05	2.96E-05	0.001876432	0.001901826	0.000578359	0.001496764	0.000540479	0.001293629	0.000330817	0.008965542	0.012533646	0.001136125	0.000186275	0.002983472	0.006609139	0.002114165
0.000224903	0.000229338	0.017462076	0.002699549	0.00608795	8.13E-05	2.63E-05	0.000207039	0.00072926	0.004569848	0.004382755	0.003283196	4.68E-05	6.23E-05	0.000392097	0.001254583	0.001845326	7.52E-06	7.69E-05	0.003892211	0.001361891	0.000118575	0.002320767	0.002403324	0.001544504	0.001041551	0.000356858	4.20E-05	0.002095046	0.001868943	0.00058726	0.002785548	0.000545935	0.001763276	0.000532135	0.004355221	0.00201514	0.001838267	0.001838927	0.006568196	0.002081911	0.018427686	0.001623489	0.021804574	0.013495784	0.004706852	0.000621791	3.83E-05	0.000192562	0.001789463	0.002206118	0.001153245	2.98E-05	3.56E-05	0.001376502	0.005598135	0.001304689	0.002984713	0.000444059	0.000195788	0.000337312	0.004678559	0.002718137	0.00242092	0.000745939	0.01225505	0.005984028	0.006342495
0.000102676	0.000126942	0.00182881	0.005892788	0.008897392	3.03E-16	0.000299681	0.002679285	2.46E-15	0.007863715	0.002057923	0.011033609	2.08E-15	5.00E-16	0.000390283	0.000710792	0.002481044	0.00024623	4.25E-05	0.00794368	0.001762024	2.95E-15	0.008332417	0.004005696	0.002323395	1.56E-15	0.002047436	1.43E-17	0.002543627	0	0.000513922	0	2.62E-15	0.002909448	0.000722961	0.020025454	0.005432823	0.001732701	1.75E-15	0.002419072	0.003018934	0.042632871	0.0031651	0.063832524	0.016943336	0.008729047	0.000105343	0.02625431	0.000125685	0.00121246	0	0.002969261	0.000101572	0.00026039	0.005012191	0.011764996	0.003400594	0.006645409	0.007371332	0.002878624	0.004212166	0.020053286	0.012786358	0.003988473	0.001695793	0.000252452	0.00479596	0.009513742
8.13E-05	6.08E-05	0.01004412	0.00130513	0.004172249	2.76E-05	4.50E-05	0.00012075	0.001706482	0.002017006	0.003281058	0.004152899	1.66E-16	3.99E-17	0.000279771	0.001088378	0.003001961	0.000102591	3.60E-05	0.008612927	1.81E-05	0.000337091	0.001413984	0.001111286	0.001748586	3.47E-05	4.39E-05	2.23E-18	0.000629253	0.001511816	0.000437444	0.000803459	7.85E-05	0.000645679	0.000322163	0.002014965	0.000671893	0.000710986	0.001277717	0.005292924	0.000920941	0.011963638	0.000969694	0.016266999	0.008779785	0.004764327	0.000204844	0.000167539	0.00105163	0.000512807	0.001251448	0.001243419	6.93E-05	1.79E-05	0.000953461	0.000429223	0.000567691	0.000642741	0.001793665	0.000572444	9.67E-05	0.002931085	0.001226509	0.001469745	0.000122664	0.012973891	0.011810772	0.006342495
